date,person,translation,.polarity,p/n,Place
Fri Apr 30 15:55:18 +0000 2021,SahinVaaz,@SkandaStrikes @Devi_Uvacha @krithikasivasw @sansbarrier @SanghiPrince @Arminiusss @jananisampath @Kunthavi5… https://t.co/GTFs9CJWZT,0.0,0.0,Dubai
Fri Apr 30 15:55:20 +0000 2021,Babar_1986,خدا جانے جس کا علی ؑجیسا بابا چلا گیااُن یتیموں کوتسّلی کس نےدی ہوگی..😭#شہادت_حیدر_کرارؑ https://t.co/3QXI9GookZ,0.0,0.0,Sharjah
Fri Apr 30 15:55:21 +0000 2021,asikmohamed,தமிழகம் இனி சிறக்கும்  #mkstalin,0.0,0.0,Ajman
Fri Apr 30 15:55:24 +0000 2021,3looyRak,@gorgeous4ew https://t.co/0L3u9nZ04k,0.0,0.0,رأس الخيمة
Fri Apr 30 15:55:26 +0000 2021,majidyadollahz1,@foufooll هیچ https://t.co/5X0lMXM4sM,0.0,0.0,Islamic Republic of Iran
Fri Apr 30 15:55:32 +0000 2021,mofleh_zivari,@EbiPlus به به ، عالی ❤️,0.0,0.0,Islamic Republic of Iran
Fri Apr 30 15:55:35 +0000 2021,psrx,@BB_13AYAAN May Allah Bless You and Your Family Ayaan ❤️Aameen Sum Ameen 🤲🏻,0.0,0.0,Dubai
Fri Apr 30 15:55:47 +0000 2021,rania_uae,احلى حاجه فيك ياريس بتنزل تتابع المشروعات بنفسكم ##السيسي_بيطور##مصر_بتتقدم https://t.co/OBujkoyFeP,0.0,0.0,عجمان
Fri Apr 30 15:55:48 +0000 2021,EkLovya_kaushik,New IndianPpl  just only one numerical digit for Government.Koi to help kroo yrr 🙏🙏🙏🙏🙏🙏🙏🙏@SonuSood 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,0.06818181818181818,0.7272727272727273,Abu Dhabi
Fri Apr 30 15:55:58 +0000 2021,bastaki1976,@alhussainiOS تحصل في اوربا العديد من المنتجات الدولية ما عدا من الدول العربية ليس هو السبب الوحيد بوغيث، بالنسبة… https://t.co/StsYpXLlax,0.0,0.0,Dubai
Fri Apr 30 15:56:02 +0000 2021,vinothanaaseeli,@Shankari_offici @Anandh_Offl பிங்க் லயா ஆரஞ்ச் லயா,0.0,0.0,Abu Dhabi
Fri Apr 30 15:56:02 +0000 2021,sultan1717,@DubaiPressClub اي تطوير اي اثراء ... كله شغل دعايات ورقص تيكتوك... ما في اي محتوى ولا غيره ... وعرض ازياء وفضاوه,0.0,0.0,Fujairah
Fri Apr 30 15:56:18 +0000 2021,HRugenge,L'éducation physique et sportive apprend le respect envers soi-même et envers les autres à travers la discipline qu… https://t.co/uXblxZaQ9e,0.0,0.0,Abu Dhabi
Fri Apr 30 15:56:28 +0000 2021,ayza_maj,Endorsement time!!! With my favorite buddy 😁 https://t.co/P9JloZL2af,0.5,1.0,Sharjah
Fri Apr 30 15:56:29 +0000 2021,Na_kro_,@mishal_here06 Sc?,0.0,0.0,Ajman
Fri Apr 30 15:56:52 +0000 2021,shxama7,@khuloodmhmd يارب استر علينا😭😭😭😭😭😭😭😭,0.0,0.0,Abu Dhabi
Fri Apr 30 15:57:03 +0000 2021,ashir_786,@AleenaAamir7 😝,0.0,0.0,Sharjah
Fri Apr 30 15:57:04 +0000 2021,Jayney_M,@Sri2Sree2 No QA 🇶🇦,0.0,0.0,Doha
Fri Apr 30 15:57:11 +0000 2021,Delara_rm,@ghazighozatwit مهندس معمار,0.0,0.0,Islamic Republic of Iran
Fri Apr 30 15:57:19 +0000 2021,BIG_HASS,@sulafamemar7 اداء خرافي و اسطوري و عالمي .. اذا كان في اوسكار في الوطن العربي فهو لك 🌺🌺🌺🌺 https://t.co/niAlgzYkZl,0.0,0.0,Dubai
Fri Apr 30 15:57:20 +0000 2021,gambergefc,@RKKKVII Si seulement ils sont au courant de l’existence du jeûne de Ramadan,0.0,0.0,Dubaï
Fri Apr 30 15:57:31 +0000 2021,_manalii1,I miss maxie .. i should go upstairs and check on him https://t.co/HDkrvLluL1,0.0,0.0,Ajman
